"Probe"	"Gene_body_meth"	"Promoter_meth"
"1700111E14Rik"	53.211643	87.70053
"1700112D23Rik"	30.367592	1.9626554
"1700112E06Rik"	41.844284	2.492481
"1700112J05Rik"	9.589273	96.62698
"1700112J16Rik"	3.9615633	17.777548
"1700112K13Rik"	3.5219572	31.460625
"1700112M01Rik"	96.555244	95.624825
"1700113A16Rik"	67.645226	0.91181666
"1700113H08Rik"	8.78035	1.7359308
"1700120B22Rik"	0.46258506	4.8754582
"1700120E14Rik"	97.6072	92.53694
"1700120G11Rik"	40.401806	35.171192
"1700121C08Rik"	29.593637	10.138125
"1700121F15Rik"	97.91997	96.30745
"1700121N20Rik"	2.920092	3.1583693
"1700122E12Rik"	4.1161613	14.8505335
"1700123I01Rik"	31.8427	2.0126634
"1700123K08Rik"	3.89011	5.0049605
"1700123L14Rik"	1.716379	10.9192505
"1700123M08Rik"	71.477234	0.24427152
"1700123O12Rik"	79.1886	1.291866
"1700123O20Rik"	28.8398	31.939848
"1700125D06Rik"	0.7183908	1.9230571
"1700125G02Rik"	1.0598073	0.79870474
"1700125G22Rik"	21.53118	1.4827961
"1700125H03Rik"	4.050732	4.120879
"1700125H20Rik"	2.6772957	3.2307525
"1700128E19Rik"	2.4842746	0.9990663
"1700128F08Rik"	90.645966	96.8042
"1700129C05Rik"	7.4575806	3.8141026
"1810006K21Rik"	56.97731	8.590164
"1810007I06Rik"	64.454994	85.62106
"1810008A18Rik"	89.74768	1.3489918
"1810008B01Rik"	94.35445	96.79678
"1810009A15Rik"	31.226896	1.5095947
"1810009N23Rik"	71.55064	67.122444
"1810010H24Rik"	10.654369	1.4202654
"1810010K12Rik"	0.26455027	0.72727275
"1810011H11Rik"	3.427218	1.6000001
"1810011O10Rik"	16.479397	20.050417
"1810012K08Rik"	97.500565	96.12814
"1810012P15Rik"	61.86745	0.32467532
"1810013D10Rik"	55.358505	0.6100728
"1810013D15Rik"	3.7805495	0.57355505
"1810013L24Rik"	51.739166	0.36593947
"1810014B01Rik"	56.978043	2.4583335
"1810014F10Rik"	83.28747	62.740726
"1810019D21Rik"	40.066734	15.369393
"1810019J16Rik"	57.433693	2.2660813
"1810019N24Rik"	2.5362556	0.4761905
"1810020D17Rik"	81.81118	1.3887216
"1810020O05Rik"	59.653023	7.4294534
"1810021B22Rik"	66.84336	20.269972
"1810022K09Rik"	36.11067	0.5893522
"1810024B03Rik"	44.837463	23.08193
"1810026J23Rik"	8.479029	26.784155
"1810027O10Rik"	6.054043	0.6958238
"1810029B16Rik"	67.18571	0.4835391
"1810030J14Rik"	6.0973086	15.306123
"1810030N24Rik"	65.98139	4.791983
"1810030O07Rik"	94.32975	98.477905
"1810031K17Rik"	25.554945	6.8050942
"1810032O08Rik"	61.72001	1.0827146
"1810033B17Rik"	8.497773	1.8515842
"1810034E14Rik"	43.944134	95.69126
"1810035I16Rik"	27.996132	10.913886
"1810035L17Rik"	65.551506	14.840429
"1810037I17Rik"	2.0630083	4.707385
"1810041L15Rik"	88.14018	73.68668
"1810043G02Rik"	68.719734	1.0489272
"1810043H04Rik"	18.20953	7.7229395
